               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.076693,            0.010828,           0.0071814,             0.35594,             0.23392,             0.17951,            0.067064,            0.073915,            0.011335,            0.013473,            0.008152,            0.008152,            0.008152
                  58,            0.076986,            0.011108,           0.0067676,             0.29477,             0.20633,             0.16765,             0.06219,            0.074379,            0.011376,            0.013626,            0.008119,            0.008119,            0.008119
                  59,            0.076525,            0.010988,           0.0067357,               0.336,             0.22262,             0.17541,            0.067774,            0.074593,            0.011346,            0.013364,            0.008086,            0.008086,            0.008086
                  60,            0.076817,            0.011349,           0.0067516,             0.30886,             0.23216,             0.17749,            0.068905,            0.074519,              0.0113,            0.012724,            0.008053,            0.008053,            0.008053
                  61,             0.07626,            0.010885,           0.0067822,             0.33448,             0.23251,             0.19804,            0.074371,            0.074534,            0.011162,            0.012519,             0.00802,             0.00802,             0.00802
                  62,            0.076344,            0.011269,            0.006768,             0.31456,             0.24061,             0.18431,            0.071529,            0.073876,            0.011331,            0.012891,            0.007987,            0.007987,            0.007987
                  63,            0.076044,            0.010555,           0.0064954,             0.36094,             0.21843,             0.18893,            0.074248,            0.074114,            0.011396,            0.013272,            0.007954,            0.007954,            0.007954
                  64,            0.075444,            0.011092,           0.0061265,             0.33359,              0.2302,             0.18439,            0.066317,            0.073242,            0.011316,            0.013066,            0.007921,            0.007921,            0.007921
                  65,            0.076124,            0.011065,           0.0059743,             0.27522,             0.25104,             0.17956,            0.065022,            0.073597,            0.011371,            0.013817,            0.007888,            0.007888,            0.007888
                  66,            0.074994,            0.010999,           0.0060995,             0.32515,             0.23659,             0.19474,            0.075801,            0.073477,            0.011236,            0.013656,            0.007855,            0.007855,            0.007855
                  67,            0.075323,            0.010812,           0.0061611,             0.36791,              0.2398,              0.1996,            0.078805,            0.073589,            0.011277,            0.013246,            0.007822,            0.007822,            0.007822
                  68,            0.074484,            0.011016,           0.0063366,             0.32829,              0.2345,             0.19417,            0.080406,            0.073813,            0.011241,             0.01256,            0.007789,            0.007789,            0.007789
                  69,            0.074259,            0.010952,           0.0060428,             0.34921,             0.23802,              0.1992,            0.076652,            0.073293,            0.011257,            0.012944,            0.007756,            0.007756,            0.007756
                  70,            0.075491,            0.011205,           0.0061284,             0.33951,             0.23062,             0.18106,            0.071018,            0.073855,             0.01136,            0.013308,            0.007723,            0.007723,            0.007723
                  71,            0.074219,            0.010872,           0.0059476,              0.4283,             0.23102,             0.19961,            0.074437,            0.073989,            0.011207,            0.013576,             0.00769,             0.00769,             0.00769
                  72,            0.073784,            0.010961,           0.0058996,             0.33023,             0.24905,             0.18677,            0.069789,             0.07349,            0.011295,             0.01292,            0.007657,            0.007657,            0.007657
                  73,            0.073793,            0.010858,            0.005498,             0.31701,             0.26057,             0.18794,            0.073576,            0.073579,            0.011287,            0.013406,            0.007624,            0.007624,            0.007624
                  74,            0.074007,            0.010989,           0.0060108,             0.33171,             0.25374,             0.18714,            0.074265,            0.074126,            0.011336,            0.013288,            0.007591,            0.007591,            0.007591
                  75,            0.073411,            0.010801,           0.0056135,             0.35848,             0.23875,             0.19254,            0.074366,            0.074092,            0.011343,            0.013601,            0.007558,            0.007558,            0.007558
                  76,            0.073687,            0.010793,           0.0057696,               0.353,             0.22515,              0.1867,            0.072061,            0.073258,            0.011441,            0.013645,            0.007525,            0.007525,            0.007525
                  77,            0.073993,            0.010962,           0.0056734,             0.36896,             0.23797,             0.18796,            0.072163,            0.073614,            0.011416,            0.014266,            0.007492,            0.007492,            0.007492
                  78,            0.073636,            0.010956,            0.005457,             0.36262,             0.22342,             0.17943,            0.068529,            0.073395,            0.011418,            0.014408,            0.007459,            0.007459,            0.007459
                  79,            0.072656,            0.010772,           0.0055497,              0.3975,             0.21296,             0.19211,            0.070283,            0.073337,            0.011384,            0.013613,            0.007426,            0.007426,            0.007426
                  80,            0.073396,            0.010484,           0.0056186,             0.35856,             0.23445,             0.19316,            0.075112,            0.073285,            0.011295,            0.013874,            0.007393,            0.007393,            0.007393
                  81,            0.072683,            0.010249,           0.0054757,             0.32974,             0.23962,             0.18602,             0.07173,            0.073108,            0.011336,            0.013961,             0.00736,             0.00736,             0.00736
                  82,            0.073205,            0.010619,            0.005708,             0.35723,             0.22442,             0.18429,            0.070386,            0.073178,            0.011387,            0.014102,            0.007327,            0.007327,            0.007327
                  83,            0.072865,            0.010971,           0.0055276,             0.35543,             0.23688,             0.19314,             0.07449,            0.073198,            0.011354,            0.013905,            0.007294,            0.007294,            0.007294
                  84,            0.072808,            0.010899,           0.0056147,             0.34979,             0.25313,             0.19772,            0.073715,            0.073101,            0.011366,            0.014006,            0.007261,            0.007261,            0.007261
                  85,            0.072281,            0.010796,           0.0052236,             0.37247,             0.23229,             0.18878,             0.07615,            0.072695,            0.011385,            0.013641,            0.007228,            0.007228,            0.007228
                  86,            0.072096,            0.010753,           0.0051672,             0.38034,             0.22025,             0.18592,            0.072475,             0.07266,            0.011485,            0.014017,            0.007195,            0.007195,            0.007195
                  87,            0.072218,            0.010973,           0.0054646,             0.37936,             0.23428,             0.18969,            0.072377,            0.072569,            0.011499,            0.013618,            0.007162,            0.007162,            0.007162
